"image_id","question","ground_truth","predicted","correct","agent_output","running_accuracy"
"422","Treatment with which antihypertensive is most likely to cause this appearance?","D","D","correct","ANSWER: D
REASONING: The image shows a patient with periorbital and perioral edema, which is a characteristic adverse reaction to angiotensin-converting enzyme (ACE) inhibitors. These medications, such as lisinopril or enalapril, can cause sodium and fluid retention leading to localized edema, particularly under the eyes and around the mouth. The clinical history is likely consistent with a patient who has been treated with an ACE inhibitor, supporting the likelihood of this diagnosis.","0.675"
"95","What is the diagnosis in this 42-year-old man with bone pain?","B","D","wrong","ANSWER: D
REASONING: The images show a lytic lesion in the metaphysis of the femur, with a large expansile lytic lesion centered in the proximal femur, which is characteristic of osteopetrosis. This condition often presents with bone pain accompanied by a characteristic radiographic appearance.","0.659"
"284","A 50-year-old man with a history of several months of productive cough presented to the emergency department with stupor and hypercarbic respiratory failure. He was intubated. Chest radiograph several days later revealed complete collapse of the left lung. On bronchoscopy, several casts, as shown, were retrieved. Follow-up CT of the chest showed only bibasilar atelectasis. What is the etiology of his casts?","D","B","wrong","ANSWER: B
REASONING: The clinical history of a productive cough, stupor, and hypercarbic respiratory failure is consistent with a severe respiratory infection. The image of the bronchoscopy casts, which are discolored and have a characteristic lacy appearance, is indicative of bronchiectasis. Bronchiectasis is a condition characterized by chronic bronchial dilation or scarring, leading to mucus and secretions build-up, which aligns with the patient's symptoms and the appearance of the casts. The follow-up CT showing bibasilar atelectasis also supports a chronic condition with potential bronchiectasis.","0.643"
"873","A 59-year-old woman was admitted to the hospital with unheralded syncope. She had lost a son to sudden cardiac death when he was 29 years of age. On hospital day 2, the patient developed sustained monomorphic ventricular tachycardia treated with synchronized cardioversion and intravenous amiodarone. An electrocardiogram was performed after the event (Panel A). A transesophageal echocardiogram showed a severely dilated right ventricle (Panel B). Cardiac magnetic resonance imaging showed a right ventricular ejection fraction of 27% with regional akinesis. What is the most likely diagnosis?","A","A","correct","ANSWER: A
REASONING: The patient's family history of SCD in a son at a young age, the presence of sustained VT which was treated with cardioversion and intravenous amiodarone, the EKG showing an abnormal pattern consistent with arrhythmogenic right ventricular dysplasia (ARVD), and the echocardiogram and CMR showing a dilated right ventricle with decreased function all support the diagnosis of Arrhythmogenic Right Ventricular Cardiomyopathy.","0.651"
"229","A 29-year-old man presented to the dermatology clinic with a pruritic, erythematous, and scaly rash that had first appeared 2 years earlier. He had sought no medical treatment until this presentation. His medical history included eczema during childhood and seasonal allergies. Physical examination showed erythematous, violaceous plaques that involved more than 90% of the patient's body-surface area, with some areas that were spared and reflect the baseline appearance of the patient's skin. What is the diagnosis?","D","D","correct","ANSWER: D
REASONING: The patient’s extensive involvement of more than 90% of the body-surface area with violaceous plaques and a background of prior skin conditions suggests the development of widespread erythrodermic psoriasis. This condition is marked by redness and scaling that affects multiple areas of the body, consistent with the image. No involvement of the mucous membranes and lack of prominent bullae or necrosis point away from other options like toxic epidermal necrolysis.","0.659"
"201","This patient had a history of breast-cancer surgery. Which one of the following rib abnormalities is present on her follow-up imaging?","E","C","wrong","ANSWER: C
REASONING: The image shows multiple rib abnormalities with increased density on the lateral aspects of several ribs, which is indicative of bone lesions. Given the patient's history of breast cancer, these findings are most consistent with rib metastases, likely from breast cancer.","0.644"
"110","A 47-year-old man presented to the emergency department with a 3-day history of a pustular rash on both hands. One week before presentation, he had started treatment with penicillin V potassium for pharyngitis. Physical examination demonstrated a rash as shown, with a similar rash being present on the soles of both of his feet. A punch-biopsy specimen of a palmar lesion was obtained, and histopathological analysis revealed subcorneal pustules and a mononuclear-cell infiltrate in the dermis. What is the diagnosis?","A","A","correct","ANSWER: A
REASONING: The clinical history and the image together suggest a diagnosis of poststreptococcal pustulosis, as the patient's recent treatment with penicillin V and the presence of subcorneal pustules, mononuclear-cell infiltrate in the dermis, and palmoplantar distribution of the rash are consistent with this diagnosis. The Jarisch–Herxheimer reaction is typically associated with penicillin, but would more likely present with systemic symptoms.","0.652"
"865","Which one of the following choices would be the least useful diagnostic test for this heel ulcer of 2 years' duration?","D","E","wrong","ANSWER: E
REASONING: The image shows a chronic heel ulcer with significant peripheral gangrene, suggesting a deep venous problem or arterial disease, such as diabetic foot or mixed vascular insufficiency. The ankle-brachial index (A) would be a useful test to assess peripheral arterial disease, which is relevant to the condition seen. Hemoglobin A1c (B), skin biopsy (C), and wound culture (D) are typically valuable for diagnosing the exact cause and managing the ulcer, especially if diabetic or infected. However, the ankle-brachial index (E) is the least useful test in this scenario because it primarily assesses arterial function and does not directly address the chronic diabetic nature or microbial infection typically associated with such ulcers.","0.638"
"860","A 53-year-old woman presented with intensely itchy skin lesions and burning in her mouth. The following appearances are noted on examination of her wrist. What is the diagnosis?","B","B","correct","ANSWER: B
REASONING: The image shows the presence of flat-topped papules with some scaling, which is characteristic of lichen planus. Additionally, the clinical history of intensely itchy skin lesions and burning in the mouth is consistent with lichen planus involvement of the mucosa and skin, as is well-known to occur with this condition.","0.646"
"360","A 72-year-old woman presented with skin changes over her left breast. She had a history of breast cancer 5 years earlier and was treated with a lumpectomy and radiation therapy. What is the diagnosis?","C","C","correct","ANSWER: C
REASONING: The image shows erythematous (red) skin changes with a slightly raised appearance, likely indicative of cutaneous involvement of angiosarcoma that can be a radiation-related side effect, as the patient has a history of previous radiation therapy at this site. The clinical history of breast cancer and its radiation treatment strongly suggest a secondary cancer developing as a result of prior radiation, which leads to consideration of radiation-induced angiosarcoma.","0.653"
"690","This 9-year-old boy presented with a two-day history of right shoulder pain after an upper respiratory tract infection. What is the cause of the abnormality demonstrated?","A","E","wrong","ANSWER: E
REASONING: The clinical history of right shoulder pain following an upper respiratory tract infection and the visual finding of upward displacement of the scapula are more indicative of scapular subluxation, which can be caused by viral infections leading to muscle weakness or paralysis.","0.64"
"38","A 27-year-old primigravid woman was admitted with new-onset diabetes and hypertension at 32 weeks of gestation. She had worsening proximal muscle weakness, striae, and facial plethora for several months. Physical examination showed striae over the abdomen, breasts, and dorsal and supraclavicular fat pads. Laboratory studies were notable for a potassium of 2.9 mmol per liter (reference range, 3.5 to 5.5) and a urine protein:creatinine ratio of 24 (reference value, <30). What is the most likely diagnosis?","D","E","wrong","ANSWER: E
REASONING: The visual findings in the image display striae over the abdomen and breasts, which are indicative of Cushing's syndrome, a condition that can be caused by an adrenal mass. The clinical history provides further support with new-onset diabetes and hypertension at 32 weeks of gestation, as well as worsening proximal muscle weakness, striae, and facial plethora, which are all consistent with Cushing's syndrome during pregnancy. The potassium level being low and the elevated urine protein:creatinine ratio also suggest the possibility of chronic kidney damage, which can occur with long-term cortisol excess in Cushing's syndrome. Therefore, the combination of clinical and image findings points towards an adrenal mass as the most likely diagnosis.","0.627"
"373","A 45-year-old man presented to the emergency department with sudden-onset abdominal pain and vomiting. On physical examination, his abdomen was diffusely tender, and he had hyperpigmented macules on the lips, oral mucosa, and nose. What is the most likely underlying diagnosis?","A","A","correct","ANSWER: A
REASONING: The presentation includes sudden-onset abdominal pain, vomiting, and hyperpigmented macules on the lips, oral mucosa, and nose, which are characteristic features of Peutz–Jeghers syndrome. The image shows intramural polyposis with hyperpigmentation of the oral mucosa, which is also associated with Peutz–Jeghers syndrome. These findings strongly suggest a diagnosis consistent with Peutz–Jeghers syndrome.","0.635"
"766","The following is a cast of what anatomical structure?","E","B","wrong","ANSWER: B
REASONING: The clinical history and the image together suggest a bronchial tree cast. The structure exhibits the branching pattern characteristic of lungs, with multiple smaller branches off a main stem, which is typical of the bronchial tree.","0.623"
"705","These lesions appeared spontaneously in a patient with untreated multiple myeloma. Coagulation studies were normal and platelet count was 80,000 per cubic millimeter. What is the diagnosis?","D","D","correct","ANSWER: D
REASONING: The image shows petechiae around the eyes, which are purple punctate hemorrhages that appear spontaneously in various ocular settings and are characteristic of amyloidogenic diseases. The clinical history reveals untreated multiple myeloma, which is a monoclonal gammopathy associated with the production of damaged proteins in the blood, leading to tissue amyloid deposition. This condition can present with petechiae, particularly around the eyes, and the patient's coagulation studies being normal and platelet count being slightly low further supports the diagnosis of amyloid purpura.","0.63"
"168","What is the diagnosis in this patient who presented with high fever?","D","D","correct","ANSWER: D
REASONING: The image shows a large hypodense area in the liver region, consistent with a fluid collection or abscess, which correlates with the clinical presentation of high fever often associated with infections. The clinical history and imaging findings together suggest inflammation and an abscess in the liver, making liver abscess the most likely diagnosis.","0.636"
