comparison,experiment_a,experiment_b,n_common,accuracy_a,accuracy_b,diff_b_minus_a,diff_b_minus_a_pp,ci_lower_pp,ci_upper_pp,both_right,a_only,b_only,both_wrong,discordant,p_value,p_bonferroni,p_bh_fdr,sig_uncorrected,sig_bonferroni,sig_bh_fdr
mode3b_structured_debate_689 vs rag_text_689,mode3b_structured_debate_689,rag_text_689,689,0.46734397677793904,0.37010159651669083,-0.0972423802612482,-9.724238026124821,-14.07837445573295,-4.934687953555883,155,167,100,267,267,4.9308612149875796e-05,0.003846071747690312,0.0003205059789741927,***,**,***
lg_conservative_689 vs mode1_qwen_vision_689,lg_conservative_689,mode1_qwen_vision_689,689,0.4934687953555878,0.3991291727140784,-0.09433962264150941,-9.433962264150942,-13.933236574746012,-4.789550072568943,176,164,99,250,263,7.338531759757387e-05,0.005724054772610762,0.0004403119055854432,***,**,***
Single_Agent_Qwen2.5VL-7B_689cases vs mode1_qwen_vision_689,Single_Agent_Qwen2.5VL-7B_689cases,mode1_qwen_vision_689,689,0.4847605224963715,0.3991291727140784,-0.08563134978229314,-8.563134978229314,-12.77213352685051,-4.354136429608124,189,145,86,269,231,0.00012544713605318724,0.009784876612148604,0.0006989197580106146,***,**,***
mode2_debate_689 vs rag_text_689,mode2_debate_689,rag_text_689,689,0.46008708272859217,0.37010159651669083,-0.08998548621190133,-8.998548621190134,-13.497822931785198,-4.499274310595064,157,160,98,274,258,0.00013645891810110084,0.010643795611885866,0.0007095863741257244,***,*,***
lg_describe_fuse_689 vs mode1_cot_689,lg_describe_fuse_689,mode1_cot_689,689,0.4949201741654572,0.409288824383164,-0.0856313497822932,-8.56313497822932,-13.062409288824384,-4.2089985486211905,191,150,91,257,241,0.00017458520761388653,0.01361764619388315,0.0008511028871176969,***,*,***
lg_directed_debate_689 vs rag_text_689,lg_directed_debate_689,rag_text_689,689,0.45573294629898403,0.37010159651669083,-0.0856313497822932,-8.56313497822932,-13.207547169811324,-3.918722786647316,148,166,107,268,273,0.0004272501474681421,0.03332551150251508,0.0018641024778210187,***,*,**
lg_conservative_689 vs mode1_cot_689,lg_conservative_689,mode1_cot_689,689,0.4934687953555878,0.409288824383164,-0.0841799709724238,-8.417997097242381,-13.062409288824384,-3.773584905660382,179,161,103,246,264,0.00043017749488177354,0.033553844600778336,0.0018641024778210187,***,*,**
mode3_structured_689 vs rag_text_689,mode3_structured_689,rag_text_689,686,0.4489795918367347,0.37026239067055394,-0.07871720116618075,-7.871720116618075,-12.390670553935863,-3.3527696793002937,152,156,102,276,258,0.0009318393275174246,0.07268346754635911,0.00382544566033469,***,n.s.,**
Single_Agent_Qwen2.5VL-7B_689cases vs mode1_cot_689,Single_Agent_Qwen2.5VL-7B_689cases,mode1_cot_689,689,0.4847605224963715,0.409288824383164,-0.07547169811320753,-7.547169811320753,-11.90130624092889,-3.047895500725689,183,151,99,256,250,0.0012130762651629949,0.0946199486827136,0.00473099743413568,**,n.s.,**
Single_Agent_MedGemma-1.5-4B_689cases vs mode1_qwen_vision_689,Single_Agent_MedGemma-1.5-4B_689cases,mode1_qwen_vision_689,689,0.4702467343976778,0.3991291727140784,-0.0711175616835994,-7.111756168359939,-11.75979680696662,-2.4673439767779417,162,162,113,252,275,0.0037191337606511258,0.2900924333307878,0.013813925396704183,**,n.s.,*
mode1_qwen_vision_689 vs mode3b_structured_debate_689,mode1_qwen_vision_689,mode3b_structured_debate_689,689,0.3991291727140784,0.46734397677793904,0.06821480406386066,6.8214804063860655,2.0319303338171277,11.46589259796807,162,113,160,254,273,0.0052733847410481646,0.4113240098017568,0.01820424636957056,**,n.s.,*
Single_Agent_MedGemma-1.5-4B_689cases vs mode1_cot_689,Single_Agent_MedGemma-1.5-4B_689cases,mode1_cot_689,689,0.4702467343976778,0.409288824383164,-0.06095791001451378,-6.095791001451378,-10.304789550072568,-1.8867924528301938,194,130,88,277,218,0.005367918801283626,0.41869766650012286,0.01820424636957056,**,n.s.,*
lg_conditional_debate_689 vs mode3_structured_689,lg_conditional_debate_689,mode3_structured_689,686,0.5102040816326531,0.4489795918367347,-0.06122448979591838,-6.122448979591838,-10.495626822157433,-1.749271137026237,211,139,97,239,236,0.0074795254283241755,0.5834029834092856,0.02430845764205357,**,n.s.,*
mode1_qwen_vision_689 vs mode2_debate_689,mode1_qwen_vision_689,mode2_debate_689,689,0.3991291727140784,0.46008708272859217,0.06095791001451378,6.095791001451378,1.4513788098693747,10.595065312046442,169,106,148,266,254,0.00995601061661194,0.7765688280957314,0.031062753123829254,**,n.s.,*
lg_conditional_debate_689 vs lg_directed_debate_689,lg_conditional_debate_689,lg_directed_debate_689,689,0.5094339622641509,0.45573294629898403,-0.05370101596516691,-5.370101596516691,-9.433962264150948,-1.3062409288824406,229,122,85,253,207,0.012157915853683756,0.9483174365873329,0.03647374756105127,*,n.s.,*
mode1_cot_689 vs mode3b_structured_debate_689,mode1_cot_689,mode3b_structured_debate_689,689,0.409288824383164,0.46734397677793904,0.058055152394775045,5.805515239477504,1.3062409288824406,10.449927431059503,177,105,145,262,250,0.01348144914260268,1.0,0.03894640863418552,*,n.s.,*
lg_option_ranking_689 vs mode3_structured_689,lg_option_ranking_689,mode3_structured_689,686,0.5087463556851312,0.4489795918367347,-0.059766763848396465,-5.976676384839647,-10.499271137026241,-1.1661807580174932,194,155,114,223,269,0.014581511816604274,1.0,0.04061992577482619,*,n.s.,*
lg_directed_debate_689 vs mode1_qwen_vision_689,lg_directed_debate_689,mode1_qwen_vision_689,689,0.45573294629898403,0.3991291727140784,-0.05660377358490565,-5.660377358490565,-10.159651669085633,-1.0159651669085612,161,153,114,261,267,0.019870551616344014,1.0,0.053444931933614936,*,n.s.,n.s.
lg_directed_debate_689 vs lg_option_ranking_689,lg_directed_debate_689,lg_option_ranking_689,689,0.45573294629898403,0.5079825834542816,0.05224963715529757,5.224963715529757,1.0159651669085612,9.433962264150942,216,98,134,241,232,0.021367806901849685,1.0,0.055297087120720186,*,n.s.,n.s.
mode1_cot_689 vs mode2_debate_689,mode1_cot_689,mode2_debate_689,689,0.409288824383164,0.46008708272859217,0.05079825834542817,5.079825834542817,0.8708272859216268,9.288824383164007,189,93,128,279,221,0.021977047445414434,1.0,0.055297087120720186,*,n.s.,n.s.
lg_conditional_debate_689 vs mode2_debate_689,lg_conditional_debate_689,mode2_debate_689,689,0.5094339622641509,0.46008708272859217,-0.049346879535558774,-4.934687953555877,-9.143686502177067,-0.7256894049346818,221,130,96,242,226,0.027932078686906163,1.0,0.06808444179933378,*,n.s.,n.s.
lg_option_ranking_689 vs mode2_debate_689,lg_option_ranking_689,mode2_debate_689,689,0.5079825834542816,0.46008708272859217,-0.04789550072568943,-4.789550072568943,-8.853410740203199,-0.43541364296081353,221,129,96,243,225,0.03266665053412694,1.0,0.07721208308066368,*,n.s.,n.s.
mode1_qwen_vision_689 vs mode3_structured_689,mode1_qwen_vision_689,mode3_structured_689,686,0.39941690962099125,0.4489795918367347,0.04956268221574345,4.956268221574344,0.2915451895043719,9.475218658892132,162,112,146,266,258,0.03972106639094217,1.0,0.09112479936745556,*,n.s.,n.s.
lg_conservative_689 vs mode3_structured_689,lg_conservative_689,mode3_structured_689,686,0.49416909620991256,0.4489795918367347,-0.04518950437317787,-4.518950437317787,-8.892128279883387,-0.14212827988343432,203,136,105,242,241,0.053075689723374425,1.0,0.11771234139136472,n.s.,n.s.,n.s.
lg_directed_debate_689 vs mode1_cot_689,lg_directed_debate_689,mode1_cot_689,689,0.45573294629898403,0.409288824383164,-0.046444121915820036,-4.644412191582004,-9.143686502177072,0.0,168,146,114,261,260,0.05432877294986064,1.0,0.11771234139136472,n.s.,n.s.,n.s.
lg_describe_fuse_689 vs mode3_structured_689,lg_describe_fuse_689,mode3_structured_689,686,0.49416909620991256,0.4489795918367347,-0.04518950437317787,-4.518950437317787,-8.892128279883382,0.14577259475218596,198,141,110,237,251,0.058063969515125144,1.0,0.12240512492377734,n.s.,n.s.,n.s.
mode1_cot_689 vs rag_text_689,mode1_cot_689,rag_text_689,689,0.409288824383164,0.37010159651669083,-0.03918722786647316,-3.918722786647316,-7.982583454281567,0.0,169,113,86,321,199,0.06504501335635787,1.0,0.13351344846831353,n.s.,n.s.,n.s.
lg_describe_fuse_689 vs lg_directed_debate_689,lg_describe_fuse_689,lg_directed_debate_689,689,0.4949201741654572,0.45573294629898403,-0.03918722786647316,-3.918722786647316,-7.982583454281572,0.0,226,115,88,260,203,0.06776079349097922,1.0,0.13552158698195843,n.s.,n.s.,n.s.
lg_conditional_debate_689 vs mode3b_structured_debate_689,lg_conditional_debate_689,mode3b_structured_debate_689,689,0.5094339622641509,0.46734397677793904,-0.0420899854862119,-4.2089985486211905,-8.708272859216255,0.29027576197387384,212,139,110,228,249,0.07578119477195179,1.0,0.14449687809354597,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs lg_conditional_debate_689,Single_Agent_MedGemma-1.5-4B_689cases,lg_conditional_debate_689,689,0.4702467343976778,0.5094339622641509,0.03918722786647316,3.918722786647316,-0.29027576197387395,8.1277213352685,230,94,121,244,215,0.07595348720301776,1.0,0.14449687809354597,n.s.,n.s.,n.s.
lg_option_ranking_689 vs mode3b_structured_debate_689,lg_option_ranking_689,mode3b_structured_debate_689,689,0.5079825834542816,0.46734397677793904,-0.04063860667634256,-4.0638606676342555,-8.417997097242386,0.29027576197387395,214,136,108,231,244,0.08368855595138598,1.0,0.15542160390971682,n.s.,n.s.,n.s.
lg_conservative_689 vs lg_directed_debate_689,lg_conservative_689,lg_directed_debate_689,689,0.4934687953555878,0.45573294629898403,-0.037735849056603765,-3.7735849056603765,-7.982583454281572,0.43541364296081353,213,127,101,248,228,0.09757593725530397,1.0,0.175896144201773,n.s.,n.s.,n.s.
mode1_cot_689 vs mode3_structured_689,mode1_cot_689,mode3_structured_689,686,0.4096209912536443,0.4489795918367347,0.039358600583090375,3.9358600583090375,-0.5830903790087494,8.454810495626825,170,111,138,267,249,0.0992234659599745,1.0,0.175896144201773,n.s.,n.s.,n.s.
lg_describe_fuse_689 vs mode2_debate_689,lg_describe_fuse_689,mode2_debate_689,689,0.4949201741654572,0.46008708272859217,-0.03483309143686503,-3.483309143686503,-7.6923076923076925,0.7256894049346874,219,122,98,250,220,0.12078552644297023,1.0,0.2093615791678151,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs lg_option_ranking_689,Single_Agent_MedGemma-1.5-4B_689cases,lg_option_ranking_689,689,0.4702467343976778,0.5079825834542816,0.03773584905660382,3.773584905660382,-0.8744557329462971,8.272859216255446,205,119,145,220,264,0.12372916581811107,1.0,0.20980162899592744,n.s.,n.s.,n.s.
lg_conservative_689 vs mode2_debate_689,lg_conservative_689,mode2_debate_689,689,0.4934687953555878,0.46008708272859217,-0.03338171262699563,-3.338171262699563,-7.692307692307699,1.0159651669085612,209,131,108,241,239,0.15457114715373266,1.0,0.2565223293189606,n.s.,n.s.,n.s.
Single_Agent_Qwen2.5VL-7B_689cases vs mode3_structured_689,Single_Agent_Qwen2.5VL-7B_689cases,mode3_structured_689,686,0.4839650145772595,0.4489795918367347,-0.034985422740524796,-3.49854227405248,-8.163265306122447,1.3119533527696792,185,147,123,231,270,0.161468697884617,1.0,0.2623866340625027,n.s.,n.s.,n.s.
Single_Agent_Qwen2.5VL-7B_689cases vs lg_directed_debate_689,Single_Agent_Qwen2.5VL-7B_689cases,lg_directed_debate_689,689,0.4847605224963715,0.45573294629898403,-0.029027576197387495,-2.9027576197387495,-7.111756168359939,1.1647314949201268,212,122,102,253,224,0.20416375469888803,1.0,0.3249953646227197,n.s.,n.s.,n.s.
mode1_qwen_vision_689 vs rag_text_689,mode1_qwen_vision_689,rag_text_689,689,0.3991291727140784,0.37010159651669083,-0.02902757619738755,-2.902757619738755,-7.402031930333819,1.7416545718432486,132,143,123,291,266,0.24398110770721304,1.0,0.379538438454239,n.s.,n.s.,n.s.
lg_describe_fuse_689 vs mode3b_structured_debate_689,lg_describe_fuse_689,mode3b_structured_debate_689,689,0.4949201741654572,0.46734397677793904,-0.027576197387518153,-2.7576197387518153,-7.256894049346879,1.5965166908563089,210,131,112,236,243,0.24815974822007933,1.0,0.379538438454239,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs lg_describe_fuse_689,Single_Agent_MedGemma-1.5-4B_689cases,lg_describe_fuse_689,689,0.4702467343976778,0.4949201741654572,0.024673439767779415,2.4673439767779417,-1.7416545718432486,6.676342525399126,223,101,118,247,219,0.2795872410637312,1.0,0.41049967941911364,n.s.,n.s.,n.s.
Single_Agent_Qwen2.5VL-7B_689cases vs lg_conditional_debate_689,Single_Agent_Qwen2.5VL-7B_689cases,lg_conditional_debate_689,689,0.4847605224963715,0.5094339622641509,0.024673439767779415,2.4673439767779417,-1.7416545718432486,6.676342525399131,232,102,119,236,221,0.28177589429578026,1.0,0.41049967941911364,n.s.,n.s.,n.s.
lg_conservative_689 vs mode3b_structured_debate_689,lg_conservative_689,mode3b_structured_debate_689,689,0.4934687953555878,0.46734397677793904,-0.026124818577648756,-2.612481857764876,-7.111756168359945,1.8867924528301883,205,135,117,232,252,0.284192085751694,1.0,0.41049967941911364,n.s.,n.s.,n.s.
Single_Agent_Qwen2.5VL-7B_689cases vs mode2_debate_689,Single_Agent_Qwen2.5VL-7B_689cases,mode2_debate_689,689,0.4847605224963715,0.46008708272859217,-0.02467343976777936,-2.467343976777936,-6.966618287373,2.0319303338171277,200,134,117,238,251,0.3125355382626733,1.0,0.44323221789979117,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs lg_conservative_689,Single_Agent_MedGemma-1.5-4B_689cases,lg_conservative_689,689,0.4702467343976778,0.4934687953555878,0.023222060957910018,2.322206095791002,-2.0319303338171224,6.676342525399131,216,108,124,241,232,0.3247294129424842,1.0,0.4472098070938212,n.s.,n.s.,n.s.
Single_Agent_Qwen2.5VL-7B_689cases vs lg_option_ranking_689,Single_Agent_Qwen2.5VL-7B_689cases,lg_option_ranking_689,689,0.4847605224963715,0.5079825834542816,0.023222060957910073,2.3222060957910076,-2.177068214804062,6.676342525399126,225,109,125,230,234,0.3268071667224078,1.0,0.4472098070938212,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs mode3_structured_689,Single_Agent_MedGemma-1.5-4B_689cases,mode3_structured_689,686,0.4708454810495627,0.4489795918367347,-0.021865889212828005,-2.1865889212828007,-6.559766763848401,2.1865889212828007,193,130,115,248,245,0.37112683248773404,1.0,0.49910160231109063,n.s.,n.s.,n.s.
mode3_structured_689 vs mode3b_structured_debate_689,mode3_structured_689,mode3b_structured_debate_689,686,0.4489795918367347,0.4679300291545189,0.01895043731778423,1.895043731778423,-2.6239067055393583,6.2682215743440235,189,119,132,246,251,0.44885539360960197,1.0,0.5934020457889654,n.s.,n.s.,n.s.
lg_conditional_debate_689 vs lg_conservative_689,lg_conditional_debate_689,lg_conservative_689,689,0.5094339622641509,0.4934687953555878,-0.015965166908563144,-1.5965166908563144,-5.6603773584905595,2.467343976777936,243,108,97,241,205,0.48500031468220833,1.0,0.6305004090868708,n.s.,n.s.,n.s.
Single_Agent_Qwen2.5VL-7B_689cases vs mode3b_structured_debate_689,Single_Agent_Qwen2.5VL-7B_689cases,mode3b_structured_debate_689,689,0.4847605224963715,0.46734397677793904,-0.017416545718432486,-1.7416545718432486,-6.389695210449927,2.902757619738755,194,140,128,227,268,0.5017007104684942,1.0,0.6415189412547959,n.s.,n.s.,n.s.
lg_conditional_debate_689 vs lg_describe_fuse_689,lg_conditional_debate_689,lg_describe_fuse_689,689,0.5094339622641509,0.4949201741654572,-0.014513788098693747,-1.4513788098693747,-5.3701015965166965,2.4673439767779417,248,103,93,245,196,0.5204221958817005,1.0,0.6545993630013692,n.s.,n.s.,n.s.
lg_conservative_689 vs lg_option_ranking_689,lg_conservative_689,lg_option_ranking_689,689,0.4934687953555878,0.5079825834542816,0.014513788098693803,1.4513788098693803,-2.7576197387518153,5.515239477503625,243,97,107,242,204,0.5287148701164905,1.0,0.6545993630013692,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs lg_directed_debate_689,Single_Agent_MedGemma-1.5-4B_689cases,lg_directed_debate_689,689,0.4702467343976778,0.45573294629898403,-0.014513788098693747,-1.4513788098693747,-5.805515239477504,2.9027576197387495,204,120,110,255,230,0.5529792167451021,1.0,0.6716721605914696,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs Single_Agent_Qwen2.5VL-7B_689cases,Single_Agent_MedGemma-1.5-4B_689cases,Single_Agent_Qwen2.5VL-7B_689cases,689,0.4702467343976778,0.4847605224963715,0.014513788098693747,1.4513788098693747,-2.906386066763425,5.950653120464445,210,114,124,241,238,0.5597268004928914,1.0,0.6716721605914696,n.s.,n.s.,n.s.
lg_describe_fuse_689 vs lg_option_ranking_689,lg_describe_fuse_689,lg_option_ranking_689,689,0.4949201741654572,0.5079825834542816,0.013062409288824406,1.3062409288824406,-2.7576197387518153,5.083454281567443,245,96,105,243,201,0.5726756419095719,1.0,0.6767984858931304,n.s.,n.s.,n.s.
lg_directed_debate_689 vs mode3b_structured_debate_689,lg_directed_debate_689,mode3b_structured_debate_689,689,0.45573294629898403,0.46734397677793904,0.011611030478955009,1.161103047895501,-3.338171262699563,5.660377358490565,192,122,130,245,252,0.6593286566089326,1.0,0.7675766450074141,n.s.,n.s.,n.s.
Single_Agent_Qwen2.5VL-7B_689cases vs lg_describe_fuse_689,Single_Agent_Qwen2.5VL-7B_689cases,lg_describe_fuse_689,689,0.4847605224963715,0.4949201741654572,0.010159651669085668,1.0159651669085668,-3.047895500725689,5.224963715529752,234,100,107,248,207,0.6767596279775563,1.0,0.7683167080691904,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs mode2_debate_689,Single_Agent_MedGemma-1.5-4B_689cases,mode2_debate_689,689,0.4702467343976778,0.46008708272859217,-0.010159651669085612,-1.0159651669085612,-5.224963715529752,3.193033381712629,215,109,102,263,211,0.679664780215053,1.0,0.7683167080691904,n.s.,n.s.,n.s.
mode1_cot_689 vs mode1_qwen_vision_689,mode1_cot_689,mode1_qwen_vision_689,689,0.409288824383164,0.3991291727140784,-0.010159651669085612,-1.0159651669085612,-5.660377358490565,3.628447024673437,149,133,126,281,259,0.7093584078384769,1.0,0.7816219154709504,n.s.,n.s.,n.s.
mode2_debate_689 vs mode3_structured_689,mode2_debate_689,mode3_structured_689,686,0.45918367346938777,0.4489795918367347,-0.010204081632653073,-1.0204081632653073,-5.685131195335274,3.6443148688046656,180,135,128,243,263,0.7114763589543266,1.0,0.7816219154709504,n.s.,n.s.,n.s.
lg_directed_debate_689 vs mode3_structured_689,lg_directed_debate_689,mode3_structured_689,686,0.4577259475218659,0.4489795918367347,-0.008746355685131213,-0.8746355685131213,-5.247813411078717,3.6443148688046656,190,124,118,254,242,0.7479737604627918,1.0,0.8013282581603616,n.s.,n.s.,n.s.
Single_Agent_Qwen2.5VL-7B_689cases vs lg_conservative_689,Single_Agent_Qwen2.5VL-7B_689cases,lg_conservative_689,689,0.4847605224963715,0.4934687953555878,0.00870827285921627,0.8708272859216271,-3.628447024673437,5.3701015965166965,214,120,126,229,246,0.7499610621244409,1.0,0.8013282581603616,n.s.,n.s.,n.s.
mode2_debate_689 vs mode3b_structured_debate_689,mode2_debate_689,mode3b_structured_debate_689,689,0.46008708272859217,0.46734397677793904,0.007256894049346874,0.7256894049346874,-3.9187227866473107,5.224963715529757,190,127,132,240,259,0.803768896699255,1.0,0.8472158640884039,n.s.,n.s.,n.s.
lg_directed_debate_689 vs mode2_debate_689,lg_directed_debate_689,mode2_debate_689,689,0.45573294629898403,0.46008708272859217,0.004354136429608135,0.43541364296081353,-4.063860667634245,4.934687953555877,195,119,122,253,241,0.897525991695243,1.0,0.9334270313630528,n.s.,n.s.,n.s.
Single_Agent_MedGemma-1.5-4B_689cases vs mode3b_structured_debate_689,Single_Agent_MedGemma-1.5-4B_689cases,mode3b_structured_debate_689,689,0.4702467343976778,0.46734397677793904,-0.0029027576197387384,-0.29027576197387384,-4.934687953555877,4.2089985486211905,199,125,123,242,248,0.9493853281653528,1.0,0.9743691525907568,n.s.,n.s.,n.s.
lg_conservative_689 vs lg_describe_fuse_689,lg_conservative_689,lg_describe_fuse_689,689,0.4934687953555878,0.4949201741654572,0.001451378809869397,0.1451378809869397,-3.773584905660382,4.0638606676342555,244,96,97,252,193,1.0,1.0,1.0,n.s.,n.s.,n.s.
lg_conditional_debate_689 vs lg_option_ranking_689,lg_conditional_debate_689,lg_option_ranking_689,689,0.5094339622641509,0.5079825834542816,-0.0014513788098693414,-0.14513788098693414,-4.2089985486211905,3.9187227866473107,248,103,102,236,205,1.0,1.0,1.0,n.s.,n.s.,n.s.
